村庄,玩家,种族,联盟,居民,(x:y):id,距离
gyjdztwen的村庄,gyjdztwen,罗马人,,3,[27:-31]:345659,8.544004
轻舞飞扬,冰轻飞舞,高卢人,,30,[29:-33]:347263,6.082763
血麒麟的村庄,上帝的眼泪,罗马人,魔域四象限独立团,24,[26:-42]:354469,12.041595
fletime的村庄,fletime,罗马人,,4,[30:-40]:352871,7.810250
乱舞汉唐的村庄,乱舞汉唐,罗马人,,3,[27:-35]:348863,8.062258
独孤求胜~~,大大人物_1314,罗马人,,77,[29:-41]:353671,9.219544
温柔乡12,百隆门88,日尔曼人,,69,[26:-34]:348061,9.000000
魔域メ东方☆国度,VIP叶知秋,罗马人,,248,[30:-43]:355274,10.295630
红胡子的村庄,红胡子,日尔曼人,,184,[36:-42]:354479,8.062258
小飞机,小小发发,日尔曼人,,64,[29:-28]:343258,8.485281
hisi的村庄,hisi,日尔曼人,,4,[25:-26]:341652,12.806248
♂星空♂的村庄,♂星星♂,高卢人,,133,[31:-27]:342459,8.062258
黑土地村,o0蛋蛋0o,罗马人,,9,[32:-26]:341659,8.544004
凌云阁,凌云阁,罗马人,,200,[27:-25]:340853,12.041595
清风之城,小胖子,罗马人,魔域四象限独立团,331,[35:-27]:342463,7.000000
王者之城,小宝,日尔曼人,魔域帝国主盟,99,[36:-30]:344867,4.123106
摩天轮[#0],海顿圣骑士,高卢人,,42,[29:-35]:348865,6.082763
4894654 9的村庄,4894654 9,高卢人,,2,[37:-24]:340062,10.198039
魔域―MHQ,MHQ,高卢人,魔域四象限主盟,400,[37:-27]:342465,7.280110
逍遥王骏哥[#0],逍遥王骏哥,罗马人,,221,[39:-43]:355283,9.848858
海豚湾,天使DE紫依,罗马人,,16,[35:-25]:340861,9.000000
魔域→图腾部落,原始图腾,罗马人,魔域四象限独立团,296,[44:-39]:352084,10.295630
白石州,海边,罗马人,魔域四象限独立团,405,[40:-36]:349677,5.385165
大冲村,海边,罗马人,魔域四象限独立团,286,[44:-37]:350482,9.486833
鸟巢,神气猪,罗马人,,97,[44:-33]:347278,9.055385
科技园,海边,罗马人,魔域四象限独立团,219,[44:-36]:349681,9.219544
水立方,4427000,罗马人,,63,[39:-30]:344870,5.656854
轩辕帝国,轩辕飘雪,罗马人,,54,[41:-27]:342469,9.219544
魔域*星际,一亩三分地,罗马人,,59,[40:-30]:344871,6.403124
独牙寨主的村庄,独牙寨主,罗马人,,14,[40:-28]:343269,7.810250
中华人民共和国的村庄,只爱双飞,罗马人,,153,[41:-24]:340066,11.661904
fudaneducn2008,fudaneducn2008,罗马人,,60,[43:-24]:340068,12.806248
小宝,小宝,日尔曼人,魔域帝国主盟,480,[44:-27]:342472,11.401754
魔域快乐的家,土豆,罗马人,魔域东南新二团,162,[45:-26]:341672,12.806248
魔域*星源,一亩三分地,罗马人,,313,[40:-29]:344070,7.071068
魔域-幻想国都,天堂使者,罗马人,魔域四象限独立团,313,[32:-31]:345664,4.242641
疯狂村,疯狂,罗马人,,252,[33:-37]:350471,3.605551
开小灶,灶君,罗马人,魔域四象限独立团,77,[33:-33]:347267,2.236068
aaawcwct,aaawcwct,罗马人,,21,[34:-34]:348069,1.000000
龙之飞翼,飞翼,日尔曼人,,41,[34:-31]:345666,3.162278
灶王庄,灶君,罗马人,魔域四象限独立团,435,[35:-34]:348070,0.000000
魔域布拉格之都,贝克汉父,罗马人,魔域四象限主盟,331,[36:-37]:350474,3.162278
舌子的村庄,骄子,日尔曼人,,61,[36:-33]:347270,1.414214
大双会,大双会,罗马人,,141,[37:-36]:349674,2.828427
2542542,飞翔,罗马人,,292,[29:-37]:350467,6.708204
